Date,City,Country,Temp,Humidity,Cloud,Wind,Latitude,Longitude
1551301200,broken hill,Australia,77,23,0,8.05,-32.10288742770803,143.48055159515565
1551304495,amahai,Indonesia,81.36,100,64,6.73,-1.5821430442817785,128.73353979511938
1551303878,kerrobert,Canada,17.29,61,40,16.11,51.69873536147372,-108.61413944581945
1551304034,rikitea,French Polynesia,79.87,100,64,9.75,-59.53738208389879,-123.62507830906793
1551304496,upernavik,Greenland,5.31,100,0,22.28,80.76411032005632,-48.996389897024784
1551304267,cape town,South Africa,63.57,77,75,5.82,-62.64381341852368,0.5796208118231903
1551304455,nome,United States,67.48,100,90,7.74,68.95696782066645,-163.8328754472276
1551304205,tuatapere,New Zealand,55,63,92,10,-54.17663307793084,159.46631675914205
1551304497,martapura,Indonesia,76.23,100,24,3.6,-4.978738098660628,115.48672595901718
1551304318,georgetown,"Saint Helena, Ascension and Tristan da Cunha",79.65,100,100,12.44,-17.755385189736003,-19.97174464828666
1551303767,busselton,Australia,60.64,48,0,14,-36.99667370069979,99.18264540844172
1551304419,torbay,Canada,23.45,79,75,38.03,42.592837065542625,-50.049093697498535
1551301200,tarata,Peru,77,50,20,11.41,-17.896613359869633,-68.98502388999964
1551303605,bluff,New Zealand,55,65,80,10,-87.58144371720026,156.62635510110653
1551300600,narsaq,Greenland,41,38,64,42.5,84.1865101191683,-59.59715867945715
1551304500,latung,Philippines,80.82,100,48,4.83,4.062928734719321,121.93526511247018
1551301200,natal,Brazil,83.28,70,40,11.41,-2.8896087699483672,-26.99558594846394
1551304500,plettenberg bay,South Africa,64.03,94,0,11.99,-45.84303142578436,23.84531868037496
1551304481,kruisfontein,South Africa,62.5,78,44,13.67,-40.33736897771297,25.38746771134953
1551301200,comodoro rivadavia,Argentina,69.8,32,0,9.17,-45.75367961854484,-69.5874719228163
1551301200,norman wells,Canada,21.2,67,75,8.05,63.1205819565827,-124.67282528163105
1551304267,pevek,Russian Federation,13.14,69,8,28.88,78.84669659968847,166.1753260719446
1551304147,lorengau,Papua New Guinea,78.7,100,92,5.28,0.8599223296556602,144.4491208823634
1551304453,cherskiy,Russian Federation,-1.99,80,88,7.07,73.94018843021092,158.2171108696449
1551304356,tonneins,France,51.87,75,0,2.24,44.29338123835666,0.3452884167038519
1551301200,zhoucheng,China,42.8,93,90,2.24,23.997377824518125,102.26713287265108
1551301200,aklavik,Canada,14.31,85,5,5.82,78.74381543280467,-144.133202130618
1551303841,souillac,Mauritius,81.61,78,40,8.05,-33.87210084674747,65.11918167734603
1551304504,fuente de oro,Colombia,89.5,26,8,2.93,3.535174782745031,-73.5751399937615
1551304230,khandyga,Russian Federation,-20.48,57,32,2.59,64.82471957767078,135.9811859455608
1551304082,ahipara,New Zealand,71.01,100,12,1.01,-32.627439501055285,168.28393023019436
1551301200,anloga,Ghana,84.2,79,20,5.82,2.073098386593969,1.6076955956434347
1551304515,luderitz,Namibia,64.08,70,0,19.71,-26.945002719282343,3.510634512348105
1551301200,dubbo,Australia,68,60,88,12.75,-32.10766801104061,148.19002510585142
1551304097,kapaa,United States,72.7,53,75,20.8,34.91431683564929,-174.55019146215776
1551304515,soe,Indonesia,66.96,94,24,1.48,-11.373596756262785,125.58140522675154
1551304516,lumphat,Cambodia,74.43,61,0,4.83,14.377542742015677,106.76311193412266
1551304050,hilo,United States,67.59,73,90,16.11,3.438198740732034,-162.93430716155734
1551303796,punta arenas,Chile,52.16,71,90,20.8,-86.77050785115209,-95.66698428907931
1551301200,touros,Brazil,82.4,78,20,9.17,1.3681349060966852,-27.124040515682765
1551304168,saskylakh,Russian Federation,-19.45,82,64,3.15,87.70067908243766,114.92320777481626
1551304266,freeport,United States,22.23,73,1,13.87,28.424442644274137,-95.07900619951192
1551301200,ushuaia,Argentina,48.4,87,75,27.51,-70.36964662664815,-60.98213899350817
1551304517,pampierstad,South Africa,69.43,26,0,8.75,-27.364618162146485,24.158375328089647
1551304517,labuhan,Indonesia,74.83,94,92,1.59,-13.545833035374244,99.42539519621926
1551301200,tuktoyaktuk,Canada,-0.41,77,20,16.11,84.35872436193165,-131.18230270368625
1551304007,barrow,United States,30.49,79,90,14.99,70.3878520916698,-153.58202645964758
1551301200,saldanha,South Africa,62.6,72,0,1.12,-36.655378520505565,5.487493162944389
1551304519,san isidro,Philippines,60.66,79,0,3.49,7.1402702412933365,126.69702960044782
1551300960,bethel,United States,36.05,80,1,19.46,64.38430633214557,-161.78488370533444
1551302820,sundumbili,South Africa,68,88,75,4.7,-29.155906650653804,31.500965589238177
1551304520,manzhouli,China,7.47,63,0,6.06,45.71231355663926,117.08864708138134
1551301200,talcahuano,Chile,66.2,63,0,12.75,-32.3812185392455,-80.94295513442124
1551304506,natchez,United States,74.44,78,90,6.93,31.78529997111714,-91.48808147384163
1551303908,hithadhoo,Maldives,81.54,100,24,8.97,-23.499734154359857,84.09950987854438
1551304522,kendal,Indonesia,69.84,97,0,2.37,-6.606083756280924,110.10724917975654
1551304266,halifax,Canada,16.86,48,20,21.92,38.804845575699204,-60.47095166332309
1551304522,samarai,Papua New Guinea,81.13,100,80,11.54,-16.32364226754585,155.02659917150692
1551303864,atuona,French Polynesia,80.68,100,32,5.17,-2.4135235687561902,-122.7060700264424
1551301200,arraial do cabo,Brazil,80.6,83,40,12.75,-35.004331556631655,-34.294531036673874
1551304428,atambua,Indonesia,77.58,100,56,3.49,-7.194652512511965,127.62759664067687
1551304354,roswell,United States,72.55,11,1,4.72,33.574767143136825,-103.83371701501774
1551303000,noumea,New Caledonia,75.2,78,75,12.75,-24.172993730398616,164.56457496271844
1551301200,vaini,Tonga,80.6,100,75,17.22,-55.14545305626836,-174.4747726204794
1551304488,sovetskiy,Russian Federation,25.11,92,88,8.08,68.87163976582309,65.71835915602759
1551301200,mackenzie,Canada,23,57,1,11.41,56.538077589143796,-122.37064287583632
1551304524,montecristo,Colombia,91.48,43,68,2.26,8.135220400760872,-74.53249529692198
1551303971,aurillac,France,47.14,69,0,4.7,44.85572753008779,2.6958637634452884
1551300600,skjervoy,Norway,24.8,62,20,14.99,72.70090147186596,19.59899993934937
1551300600,salalah,Oman,75.2,69,0,3.36,19.127667199555873,52.11796218186285
1551304535,san juan,Argentina,84.55,31,0,3.38,-31.261800699051044,-69.6470751646276
1551304505,fortuna,United States,44.19,100,40,10.29,38.71844932606206,-135.72135207172408
1551301200,albany,Australia,64.4,82,90,2.24,-69.57683831267585,98.36931692459495
1551303914,dikson,Russian Federation,0.63,91,56,34.92,83.94793591840926,69.10531488273202
1551304068,jamestown,"Saint Helena, Ascension and Tristan da Cunha",77.08,99,88,16.02,-12.650357616778535,-1.9638973744984298
1551301200,thompson,Canada,14,72,90,9.17,66.02788716580861,-101.17149515824977
1551304180,kodiak,United States,18.95,31,1,13.87,47.19531312145608,-153.03135874857477
1551301200,puerto ayora,Ecuador,86,70,20,8.05,2.2240175040497974,-89.43126399387918
1551304282,port alfred,South Africa,60.93,84,32,3,-84.97171913481048,49.44427071157244
1551304302,celestun,Mexico,80.37,90,32,9.19,22.15272532338551,-93.66670049978134
1551304537,mundo novo,Brazil,73.44,96,92,5.5,-11.789105560850288,-40.363804384560154
1551304477,ierapetra,Greece,49.28,53,40,25.28,33.85361003140345,25.870854704812473
1551304356,pacific grove,United States,58.8,52,1,11.41,25.657633783603913,-136.00137147337162
1551303155,hermanus,South Africa,63.75,77,8,7,-51.83238343751819,8.695049602417129
1551304014,petawawa,Canada,9.19,42,40,4.7,45.6157286702836,-77.41200249543401
1551304293,kaitangata,New Zealand,53.01,66,64,7,-64.26053307101546,173.06972170313963
1551304514,new norfolk,Australia,57.7,82,0,2.93,-53.13123283463874,135.96079083300054
